city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Stamford,52.6560,-0.4840,United Kingdom,GB,Lincolnshire,,19701,19701
Davyhulme,53.4559,-2.3683,United Kingdom,GB,Trafford,,19634,19634
Burnham-on-Sea,51.2376,-2.9935,United Kingdom,GB,Somerset,,19576,19576
Abbots Langley,51.7010,-0.4160,United Kingdom,GB,Hertfordshire,,19574,19574
Great Linford,52.0680,-0.7637,United Kingdom,GB,Milton Keynes,,19350,19350
Dukinfield,53.4739,-2.0828,United Kingdom,GB,Tameside,,19306,19306
Peterhead,57.5091,-1.7832,United Kingdom,GB,Aberdeenshire,,19270,19270
Ecclesall,53.3620,-1.4980,United Kingdom,GB,Sheffield,,19211,19211
Hebburn,54.9720,-1.5130,United Kingdom,GB,South Tyneside,,19148,19148
Frimley,51.3143,-0.7387,United Kingdom,GB,Surrey,,19094,19094
Molesey,51.4010,-0.3630,United Kingdom,GB,Surrey,,19088,19088
Prestatyn,53.3310,-3.4050,United Kingdom,GB,Denbighshire,,19085,19085
Calne,51.4380,-2.0050,United Kingdom,GB,Wiltshire,,19074,19074
Southbourne,50.7220,-1.7980,United Kingdom,GB,,,18960,18960
Broughty Ferry,56.4672,-2.8699,United Kingdom,GB,Dundee City,,18659,18659
Bedlington,55.1330,-1.5830,United Kingdom,GB,Northumberland,,18470,18470
Hadleigh,51.5535,0.6095,United Kingdom,GB,Essex,,18300,18300
Bingley,53.8460,-1.8360,United Kingdom,GB,Bradford,,18294,18294
Warminster,51.2050,-2.1810,United Kingdom,GB,Wiltshire,,18173,18173
Redhill,51.2393,-0.1726,United Kingdom,GB,Surrey,,18163,18163
Bourne,52.7684,-0.3775,United Kingdom,GB,Lincolnshire,,17981,17981
Colne,53.8554,-2.1756,United Kingdom,GB,Lancashire,,17855,17855
Tonypandy,51.6223,-3.4512,United Kingdom,GB,Rhondda Cynon Taff,,17789,3750
Moreton,53.4010,-3.1110,United Kingdom,GB,Wirral,,17670,17670
Fern Down,50.8100,-1.9000,United Kingdom,GB,Dorset,,17650,17650
Bonnyrigg,55.8747,-3.1031,United Kingdom,GB,Midlothian,,17530,17530
Quedgeley,51.8250,-2.2800,United Kingdom,GB,Gloucestershire,,17519,17519
Houghton Regis,51.9039,-0.5247,United Kingdom,GB,Central Bedfordshire,,17280,17280
Friern Barnet,51.6126,-0.1584,United Kingdom,GB,Barnet,,17250,17250
Milton,53.0500,-2.1420,United Kingdom,GB,Stoke-on-Trent,,17250,17250
Cottingham,53.7822,-0.4136,United Kingdom,GB,"Kingston upon Hull, City of",,17164,17164
Clitheroe,53.8711,-2.3916,United Kingdom,GB,Lancashire,,17141,17141
Heckmondwike,53.7080,-1.6700,United Kingdom,GB,Kirklees,,16986,16986
Clayton,53.7820,-1.8135,United Kingdom,GB,Bradford,,16982,16982
High Blantyre,55.7930,-4.0970,United Kingdom,GB,South Lanarkshire,,16900,16900
Maltby,53.4260,-1.2100,United Kingdom,GB,Rotherham,,16856,16856
Haslingden,53.7050,-2.3280,United Kingdom,GB,Lancashire,,16849,16849
Devizes,51.3528,-1.9958,United Kingdom,GB,Wiltshire,,16834,16834
Fazakerley,53.4676,-2.9408,United Kingdom,GB,Liverpool,,16786,16786
Connahs Quay,53.2180,-3.0570,United Kingdom,GB,Flintshire,,16774,16774
Plumstead,51.4900,0.0900,United Kingdom,GB,Greenwich,,16736,16736
Wellington,50.9755,-3.2243,United Kingdom,GB,Somerset,,16669,16669
Whickham,54.9456,-1.6726,United Kingdom,GB,Gateshead,,16652,16652
Keynsham,51.4135,-2.4968,United Kingdom,GB,Bath and North East Somerset,,16641,16641
Cleckheaton,53.7250,-1.7190,United Kingdom,GB,Kirklees,,16622,16622
Cowley,51.7330,-1.2150,United Kingdom,GB,Oxfordshire,,16500,16500
Enfield Lock,51.6686,-0.0260,United Kingdom,GB,Enfield,,16469,16469
Kilwinning,55.6550,-4.7030,United Kingdom,GB,North Ayrshire,,16460,16460
Westbury,51.2600,-2.1910,United Kingdom,GB,Wiltshire,,16414,16414
Stepney,51.5152,-0.0462,United Kingdom,GB,Tower Hamlets,,16238,16238
Basford,52.9780,-1.1690,United Kingdom,GB,Nottingham,,16207,16207
Brackley,52.0320,-1.1470,United Kingdom,GB,Northamptonshire,,16195,16195
Tyldesley,53.5166,-2.4667,United Kingdom,GB,Wigan,,16142,16142
East Barnet,51.6430,-0.1630,United Kingdom,GB,Barnet,,16137,16137
Upton,53.3850,-3.0990,United Kingdom,GB,Wirral,,16130,16130
Johnstone,55.8346,-4.5027,United Kingdom,GB,Renfrewshire,,16090,16090
Worcester Park,51.3752,-0.2390,United Kingdom,GB,Sutton,,16031,16031
South Hayling,50.7876,-0.9770,United Kingdom,GB,Hampshire,,15948,15948
Addlestone,51.3695,-0.4901,United Kingdom,GB,Surrey,,15883,15883
Royston,52.0471,-0.0202,United Kingdom,GB,Hertfordshire,,15781,15781
Buckley,53.1720,-3.0860,United Kingdom,GB,Flintshire,,15665,15665
Porthcawl,51.4800,-3.6900,United Kingdom,GB,Bridgend,,15640,15640
Nailsea,51.4300,-2.7600,United Kingdom,GB,North Somerset,,15630,15630
West Ham,51.5340,0.0080,United Kingdom,GB,Newham,,15551,15551
Shipley,53.8330,-1.7770,United Kingdom,GB,Bradford,,15483,15483
Baildon,53.8510,-1.7630,United Kingdom,GB,Bradford,,15360,15360
Wombwell,53.5160,-1.4000,United Kingdom,GB,Barnsley,,15316,15316
Llantrisant,51.5420,-3.3750,United Kingdom,GB,Rhondda Cynon Taff,,15313,15313
Hazel Grove,53.3750,-2.1110,United Kingdom,GB,Stockport,,15265,15265
Dawlish,50.5810,-3.4660,United Kingdom,GB,Devon,,15257,15257
Bidston,53.4020,-3.0780,United Kingdom,GB,Wirral,,15216,15216
Verwood,50.8815,-1.8785,United Kingdom,GB,Dorset,,15196,15196
